Which organelle is known as the powerhouse of the cell?,Nucleus,Ribosome,Mitochondria,Golgi apparatus,2
DNA stands for?,Deoxyribonucleic Acid,Deoxyribose Nucleic Acid,Dioxyribonucleic Acid,Dioxyribose Nucleic Acid,0
The functional unit of kidney is?,Neuron,Nephron,Alveoli,Neutrophil,1
Which blood cells are responsible for clotting?,RBC,WBC,Platelets,Plasma,2
The process of conversion of glucose into energy is called?,Photosynthesis,Respiration,Fermentation,Transpiration,1
Which vitamin helps in blood clotting?,Vitamin A,Vitamin D,Vitamin K,Vitamin C,2
Which part of the brain controls balance?,Cerebrum,Cerebellum,Medulla,Pons,1
Which pigment gives green color to leaves?,Chlorophyll,Carotene,Xanthophyll,Anthocyanin,0
Insulin is secreted by which organ?,Liver,Pancreas,Kidney,Heart,1
Who is known as the father of genetics?,Charles Darwin,Gregor Mendel,Watson,Crick,1
Which organ produces bile?,Liver,Stomach,Pancreas,Gall bladder,0
The smallest unit of life is?,Tissue,Organ,Cell,Organism,2
The site of protein synthesis is?,Nucleus,Ribosome,Mitochondria,Chloroplast,1
Which part of the flower becomes fruit after fertilization?,Stamen,Ovary,Petal,Sepal,1
Which blood group is called the universal donor?,A,B,AB,O,3
How many pairs of chromosomes are present in humans?,22,23,24,46,1
Which enzyme breaks down starch into sugar?,Lipase,Amylase,Pepsin,Trypsin,1
Which part of the eye controls the amount of light entering it?,Cornea,Lens,Iris,Retina,2
What is the normal pH of human blood?,6.5,7.4,8.2,7.0,1
The process by which plants lose water vapor is?,Transpiration,Respiration,Condensation,Osmosis,0