What is the derivative of sin(x)?,cos(x),-cos(x),sin(x),-sin(x),0
∫x dx equals?,x²/2 + C,2x + C,lnx + C,1/x + C,0
What is the slope of a line y = 3x + 2?,2,3,1,0,1
If the determinant of a matrix is zero the matrix is?,Singular,Orthogonal,Invertible,Scalar,0
What is the sum of the roots of x² - 5x + 6 = 0?,5,6,-5,-6,0
If logₐ(bc) = ?,logₐb + logₐc,logₐb × logₐc,logₐ(b/c),logₐ(b+c),0
The function f(x) = x³ is?,Odd,Even,Neither,Both,0
What is the area under y = x between x=0 and x=2?,2,3,4,1,2
What is the solution of 2x + 3 = 7?,x = 2,x = 1,x = 3,x = 4,0
If tanθ = 1 then θ equals?,0°,30°,45°,90°,2
What is the 10th term of an arithmetic progression with a₁ = 2 and d = 3?,29,30,31,32,0
If z = 3 + 4i then |z| = ?,5,7,12,1,0
The limit of sinx/x as x→0 is?,0,1,∞,Does not exist,1
The slope of a line perpendicular to slope 2 is?,1/2,-1/2,-2,2,2
The solution set of |x| < 3 is?,x > 3,x < -3,-3 < x < 3,x = 3,2
The sum of first n natural numbers is?,n²,n(n+1),n(n+1)/2,n/2,2
If two lines are parallel then their slopes are?,Equal,Negative reciprocals,Zero,Undefined,0
The quadratic equation x² + 4x + 4 = 0 has?,Real distinct roots,Real equal roots,Imaginary roots,No roots,1
If cosθ = 0 then θ equals?,0°,45°,60°,90°,3
What is the inverse of a function f(x) = 2x + 3?,f⁻¹(x) = (x - 3)/2,f⁻¹(x) = 2x - 3,f⁻¹(x) = 1/(2x + 3),f⁻¹(x) = 3x + 2,0